date,total,Holidays,outbreak
8.7.2009,30,0,0
9.7.2009,30,0,0
10.7.2009,31,0,0
11.7.2009,48,0,0
12.7.2009,39,0,0
13.7.2009,31,0,0
14.7.2009,32,0,0
15.7.2009,31,0,0
16.7.2009,28,0,0
17.7.2009,26,0,0
18.7.2009,45,0,0
19.7.2009,39,0,0
20.7.2009,28,0,0
21.7.2009,30,0,0
22.7.2009,30,0,0
23.7.2009,28,0,0
24.7.2009,34,0,0
25.7.2009,54,0,0
26.7.2009,43,0,0
27.7.2009,32,0,0
28.7.2009,29,0,0
29.7.2009,31,0,0
30.7.2009,26,0,0
31.7.2009,29,0,0
1.8.2009,43,0,0
2.8.2009,39,0,0
3.8.2009,31,0,0
4.8.2009,25,0,0
5.8.2009,22,0,0
6.8.2009,25,0,0
7.8.2009,39,0,0
8.8.2009,41,0,0
9.8.2009,37,0,0
10.8.2009,27,0,0
11.8.2009,23,0,0
12.8.2009,28,0,0
13.8.2009,28,0,0
14.8.2009,25,0,0
15.8.2009,48,0,0
16.8.2009,42,0,0
17.8.2009,31,0,0
18.8.2009,30,0,0
19.8.2009,27,0,0
20.8.2009,29,0,0
21.8.2009,24,0,0
22.8.2009,54,0,0
23.8.2009,50,0,0
24.8.2009,31,0,0
25.8.2009,25,0,0
26.8.2009,29,0,0
27.8.2009,23,0,0
28.8.2009,20,0,0
29.8.2009,46,0,0
30.8.2009,42,1,0
31.8.2009,30,0,0
1.9.2009,25,0,0
2.9.2009,25,0,0
3.9.2009,20,0,0
4.9.2009,28,0,0
5.9.2009,44,0,0
6.9.2009,43,0,0
7.9.2009,20,0,0
8.9.2009,19,0,0
9.9.2009,18,0,0
10.9.2009,23,0,0
11.9.2009,31,0,0
12.9.2009,36,0,0
13.9.2009,62,0,0
14.9.2009,23,0,0
15.9.2009,27,0,0
16.9.2009,35,0,0
17.9.2009,27,0,0
18.9.2009,31,0,0
19.9.2009,72,1,0
20.9.2009,68,1,0
21.9.2009,62,1,0
22.9.2009,64,1,0
23.9.2009,36,0,0
24.9.2009,38,0,0
25.9.2009,45,0,0
26.9.2009,70,0,0
27.9.2009,81,0,0
28.9.2009,72,0,0
29.9.2009,74,0,0
30.9.2009,40,0,0
1.10.2009,34,0,0
2.10.2009,42,0,0
3.10.2009,79,0,0
4.10.2009,88,0,0
5.10.2009,45,0,0
6.10.2009,39,0,0
7.10.2009,48,0,0
8.10.2009,31,0,0
9.10.2009,40,0,0
10.10.2009,73,0,0
11.10.2009,72,0,0
12.10.2009,50,0,0
13.10.2009,50,0,0
14.10.2009,25,0,0
15.10.2009,26,0,0
16.10.2009,33,0,0
17.10.2009,58,0,0
18.10.2009,56,0,0
19.10.2009,45,0,0
20.10.2009,35,0,0
21.10.2009,34,0,0
22.10.2009,37,0,0
23.10.2009,44,0,0
24.10.2009,89,0,0
25.10.2009,87,0,0
26.10.2009,48,0,0
27.10.2009,47,0,0
28.10.2009,55,0,0
29.10.2009,75,1,0
30.10.2009,51,0,0
31.10.2009,88,0,0
1.11.2009,78,0,0
2.11.2009,54,0,0
3.11.2009,45,0,0
4.11.2009,47,0,0
5.11.2009,49,0,0
6.11.2009,56,0,0
7.11.2009,92,0,0
8.11.2009,90,0,0
9.11.2009,56,0,0
10.11.2009,54,0,0
11.11.2009,52,0,0
12.11.2009,48,0,0
13.11.2009,60,0,0
14.11.2009,125,0,0
15.11.2009,116,0,0
16.11.2009,63,0,1
17.11.2009,58,0,1
18.11.2009,51,0,1
19.11.2009,51,0,1
20.11.2009,65,0,1
21.11.2009,169,0,1
22.11.2009,155,0,1
23.11.2009,92,0,1
24.11.2009,87,0,1
25.11.2009,84,0,1
26.11.2009,134,1,1
27.11.2009,145,1,1
28.11.2009,157,1,1
29.11.2009,145,1,1
30.11.2009,133,1,1
1.12.2009,59,0,1
2.12.2009,53,0,1
3.12.2009,54,0,1
4.12.2009,59,0,1
5.12.2009,121,0,1
6.12.2009,114,0,1
7.12.2009,65,0,1
8.12.2009,54,0,1
9.12.2009,56,0,1
10.12.2009,102,0,1
11.12.2009,95,0,1
12.12.2009,106,0,1
13.12.2009,105,0,1
14.12.2009,94,0,1
15.12.2009,82,0,1
16.12.2009,78,0,1
17.12.2009,71,0,1
18.12.2009,85,0,1
19.12.2009,115,0,1
20.12.2009,113,0,1
21.12.2009,84,0,1
22.12.2009,65,0,1
23.12.2009,55,0,1
24.12.2009,48,0,1
25.12.2009,45,0,1
26.12.2009,86,0,1
27.12.2009,77,0,1
28.12.2009,41,0,0
29.12.2009,40,0,0
30.12.2009,39,0,0
31.12.2009,38,0,0
